bic_code,institution_name
ABBLINBBXXX,AB BANK LIMITED
ACBLINBBXXX,ABHYUDAYA CO-OPERATIVE BANK LTD.
ABNAINBBAHM,ABN AMRO BANK N.V.
ADCBINBBXXX,ABU DHABI COMMERCIAL BANK
ALLAINBBXXX,ALLAHABAD BANK
ANDBINBBXXX,ANDHRA BANK
ADIAINBBXXX,ANTWERP DIAMOND BANK N.V.
AXISINBBXXX,AXIS BANK LIMITED
BOFAIN4XMAA,"BANK OF AMERICA, N.A. CHENNAI"
BOFAIN4XCCU,"BANK OF AMERICA, N.A. KOLKATA"
BBKUINBBXXX,BANK OF BAHRAIN AND KUWAIT B.S.C.
BARBINBBXXX,BANK OF BARODA
BCEYIN5MXXX,BANK OF CEYLON
BKIDINBBXXX,BANK OF INDIA
MAHBINBBAHM,BANK OF MAHARASHTRA
NOSCINBBBLR,"BANK OF NOVA SCOTIA, THE"
BOTKIN5MXXX,"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE"
BARCINBBMUM,BARCLAYS BANK PLC
BNPAINBBAHM,BNP PARIBAS INDIA
CNRBINBBXXX,CANARA BANK
CSYBIN55XXX,CATHOLIC SYRIAN BANK LTD
CBININBBLAL,CENTRAL BANK OF INDIA
CTCBINDDXXX,CHINATRUST COMMERCIAL BANK
CITIINBXBLR,CITIBANK N.A.
CIUBIN5MXXX,CITY UNION BANK LIMITED
CCILINBBXXX,"CLEARING CORPORATION OF INDIA LTD, THE"
CORPINBBXXX,CORPORATION BANK
DBSSINBBIBD,"DBS BANK LTD, MUMBAI BRANCH"
BKDNINBBXXX,DENA BANK
DEUTINBBBGL,DEUTSCHE BANK AG
DCBLINBB036,DEVELOPMENT CREDIT BANK LTD.
DLXBINBBKPM,"DHANALAKSHMI BANK LTD, THE"
EIBIINBBXXX,EXPORT-IMPORT BANK OF INDIA
FDRLINBBXXX,"FEDERAL BANK LIMITED, THE"
FIRNINBBXXX,FIRSTRAND BANK LIMITED
HDFCINBBAHM,HDFC BANK LIMITED
HSBCINBBBGE,"HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, THE"
ICICINBB024,ICICI BANK LIMITED
IBKLINBBXXX,IDBI BANK LIMITED
IDIBINBBXXX,INDIAN BANK
IOBAINBBXXX,INDIAN OVERSEAS BANK
INDBINBBXXX,INDUSIND BANK LIMITED
VYSAINBBAHD,ING VYSYA BANK LTD.
JAKAINBBAGR,JAMMU AND KASHMIR BANK LTD
CHASINBXTRO,"JPMORGAN CHASE BANK, N.A."
VTBRINDDXXX,"JSC VTB BANK, NEW DELHI BRANCH"
KARBINBBBNG,KARNATAKA BANK LTD.
KVBLINBBADI,"KARUR VYSYA BANK LTD., THE"
KKBKINBBCPC,KOTAK MAHINDRA BANK LIMITED
KRTHINBBXXX,KRUNG THAI BANK PUBLIC COMPANY LTD
LAVBINBB114,LAKSHMI VILAS BANK LIMITED
MSCIINBBXXX,"MAHARASHTRA STATE CO-OPERATIVE BANK LTD., THE"
MSHQINBBXXX,MASHREQ BANK
MHCBINBBXXX,MIZUHO CORPORATE BANK LTD
MSMBINBXXXX,MORGAN STANLEY INDIA COMPANY PVT LTD
OIBAINBBXXX,OMAN INTERNATIONAL BANK
GTBKINBBXXX,ORIENTAL BANK OF COMMERCE
PSIBINBB020,PUNJAB AND SIND BANK
PUNBINBBXXX,PUNJAB NATIONAL BANK
RBISINBBXXX,RESERVE BANK OF INDIA
SRCBINBBAUR,"SARASWAT CO-OPERATIVE BANK LTD., THE"
SBCLINBBXXX,SBI COMMERCIAL AND INTERNATIONAL BANK LTD.
SHBKINBBXXX,SHINHAN BANK
SIDBINBBCBB,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
SOGEINBBBLR,SOCIETE GENERALE
BSONINCCXXX,SONALI BANK
SOININ55179,"SOUTH INDIAN BANK LTD., THE"
SCDIIN51XXX,SPARK CAPITAL ADVISORS (INDIA) PRIVATE LTD
SCBLINBBMDS,STANDARD CHARTERED BANK
SBBJINBBXXX,STATE BANK OF BIKANER AND JAIPUR
SBHYINBBXXX,STATE BANK OF HYDERABAD
SBININBBXXX,STATE BANK OF INDIA
STININBBXXX,STATE BANK OF INDORE
STCBINBXNPT,STATE BANK OF MAURITIUS LIMITED
SBMYINBBXXX,STATE BANK OF MYSORE
STBPINBBXXX,STATE BANK OF PATIALA
SBTRINBBXXX,STATE BANK OF TRAVANCORE
SYNBINBBXXX,SYNDICATE BANK
TMBLINBBCHE,TAMILNAD MERCANTILE BANK LIMITED
BRAJINBBARA,THE BANK OF RAJASTHAN LTD.
BCMLINBBXXX,THE BHARAT CO-OPERATIVE BANK (MUMBAI) LTD
COSDINBBXXX,THE COSMOS CO-OPERATIVE BANK LTD.
KALUINAAXXX,THE KALUPUR COMMERCIAL CO-OPERATIVE BANK LIMITED
SVCBINBBBLR,THE SHAMRAO VITHAL CO-OPERATIVE BANK LIMITED
TCILINBBXXX,THOMAS COOK (INDIA) LTD.
UBSWINBBXXX,UBS AG
UCBAINBBXXX,UCO BANK
UBININBBXXX,UNION BANK OF INDIA
UTBIINBBECB,UNITED BANK OF INDIA
VIJBINBBXXX,VIJAYA BANK
YESBINBBDEL,YES BANK LIMITED
